RUN,TestCase,CASO,FIGURA,Persona,PARENTESCO,RIESGO,EDAD,Sexo,nombre,er_apellido,do_apellido,fnacimiento,RFC,ocupacion,actividad,origen_de_recursos,estado_civil,cp,calle_y_numero,pep,ZONA,Estado,Plan,DNI,consecutivo,nuevo dni 
1,1,1,Titular,Fisica,Titular,,20,Mujer,ABIGAIL,QUIJADA,NAVARRETE,10/01/2004,,ABOGADO,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ABIQUINAV20040110M01,1,ABIQUINAV20040110M01
1,1,1,,Fisica,Dependiente,,64,Hombre,AARON,RODGERS,VILLALOBOS,10/01/1960,,ABOGADO,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,AARRODVIL19600110H01,2,AARRODVIL19600110H01
1,1,1,,Fisica,Dependiente,,63,Mujer,ADRIANA,QUILES,MAGANA,10/01/1961,,ABOGADO,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ADRQUIMAG19610110M01,3,ADRQUIMAG19610110M01
1,1,1,,Fisica,Dependiente,,61,Hombre,ABRAHAM,OSORNIO,MURILLO,10/01/1963,,ABOGADO,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ABROSOMUR19630110H01,4,ABROSOMUR19630110H01
1,1,1,,Fisica,Dependiente,,20,Hombre,ADAN,HARD,GONZALEZ,10/01/2004,,ABOGADO,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ADAHARGON20040110H01,5,ADAHARGON20040110H01
1,1,1,,Fisica,Hijo(a),,14,Hombre,ALBERTO,HARO,QUEZADA,10/01/2010,,ESTUDIANTE,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ALBHARQUE20100110H01,6,ALBHARQUE20100110H01
1,1,1,,Fisica,Hijo(a),,10,Hombre,ALEJANDRO,LANDEROS,DELATORRE,10/01/2014,,ESTUDIANTE,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ALELANDEL20140110H01,7,ALELANDEL20140110H01
1,1,1,,Fisica,Hijo(a),,6,Hombre,ALFREDO,CAZARES,HINOJOSA,10/01/2018,,ESTUDIANTE,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ALFCAZHIN20180110H01,8,ALFCAZHIN20180110H01
1,1,1,,Fisica,Hijo(a),,5,Hombre,ALFONSO,OCAMPO,HURTADO,10/01/2019,,ESTUDIANTE,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ALFOCAHUR20190110H01,9,ALFOCAHUR20190110H01
1,1,1,,Fisica,Hijo(a),,5,Hombre,ALONSO,RENDON,AMAYA,10/01/2019,,ESTUDIANTE,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ALORENAMA20190110H01,10,ALORENAMA20190110H01
1,1,1,,Fisica,Hijo(a),,0,Hombre,ALVARO,GARCIA,REYNA,10/01/2024,,ESTUDIANTE,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ALVGARREY20240110H01,11,ALVGARREY20240110H01
1,2,2,Titular,Fisica,Titular,,21,Mujer,ALEGRIA,REVELES,OLIVAS,10/01/2003,,ABOGADO,OTROS,OTROS,Soltero/a,10000,LEGARIA,N,CD1,Distrito Federal,PLENO,ALEREVOLI20030110M01,12,ALEREVOLI20030110M01
